Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Baianá","Bakermat","Baianá","Favorite Songs","Favorite","NLE801900440","430efk5Jc5wGay4EWP4snS"
"La vie ne vaut rien (reprise d'Alain Souchon)","Tim Dup","La vie ne vaut rien (reprise d'Alain Souchon)","Favorite Songs","Favorite","FRZ051700605","69eq0wj7oxGE6D4htiyHlU"
"Bouquet de pleurs","Foé","Îl","Favorite Songs","Favorite","FR9W11720311","4RnDOSKK2sbexePl97hCB8"
"Grave","Eddy de Pretto","Culte","Favorite Songs","Favorite","FRUM71801977","3ryiQYyGqcN7soRuZpSWID"
"Dans l'univers","Nekfeu","Les étoiles vagabondes : expansion","Favorite Songs","Favorite","FR9W11908564","2PYXOG6GdxF9sUIH2NfOAD"
"Rodeo (feat. Personne)","Trinix","Rodeo (Remixes)","Favorite Songs","Favorite","FR9W11919085","1Hcz4ENJ1lqzswTbNkcvFl"
"Gin tonic","James Baker","Gin tonic","Favorite Songs","Favorite","QZDA71989333","6XbfxXgvzSUL46IcryaBMJ"
"Home","AVC","Home","Favorite Songs","Favorite","QZDA51938671","4Y1Fde9Hx0bVsaPSk8K9Z0"
"If You Feel - Gavin Moss Remix","Cats On Trees","Neon (Edition Deluxe)","Favorite Songs","Favorite","FR79W1800200","02zmDET82H25bo957mi4jv"
"Princess","Crystal Murray","Princess","Favorite Songs","Favorite","FR6P11900980","14jYEAlo004ETeuJ5myNqn"
"Overnight - Instrumental","Gonzales","Chill Out Jazz (Jazz Club)","Favorite Songs","Favorite","DEY380480030","6NwxXyHnGuWdy7dd04X3FL"
"Satisfied - Ambient Reprise","Catching Flies","Satisfied","Favorite Songs","Favorite","QM6P41815504","2N5nLrSKC1iM87U6Srhvb2"
"Lucy The Tease","Allan Rayman","Hotel Allan","Favorite Songs","Favorite","CAUC01500050","2j4RC1LkwV47B0BMZNyvE3"
"Repeat","Allan Rayman","Roadhouse 01","Favorite Songs","Favorite","CAUM71600255","7tLWymW3ieb60ZI0aFa4lv"
"Graceland","Allan Rayman","Hotel Allan","Favorite Songs","Favorite","CADE70902916","60NMp2g45KfA8UlwXfVjVE"
"Ready To Rock","Oddisee","People Hear What They See (Commentary Version)","Favorite Songs","Favorite","USKVL1200064","0gJrV0nwIkYvzj5Qc240RZ"
"Contradiction's Maze (feat. Maimouna Youseff)","Oddisee","The Good Fight","Favorite Songs","Favorite","QM6N21488545","2ifZGBMvT6OcSgnHLecqNn"
"Corpocontinente","Céu","Apká!","Favorite Songs","Favorite","BRRGE1908481","7dKBjJ2fxNKOvnrLoWguSm"
"J'attends","Ben Mazué","Les femmes idéales","Favorite Songs","Favorite","FRZ051800506","2EjSObddqmZPzlcoket9WV"
"Roses - Imanbek Remix","SAINt JHN","Roses (Imanbek Remix)","Favorite Songs","Favorite","RUB421901499","24Yi9hE78yPEbZ4kxyoXAI"
"Laputa (Taylor McFerrin Remix feat. Anderson .Paak)","Hiatus Kaiyote","Recalibrations, Vol. 1","Favorite Songs","Favorite","USSM11602056","5UFtKaL5KBumqv4tpgdm0p"
"Play Date","Melanie Martinez","Cry Baby (Deluxe Edition)","Favorite Songs","Favorite","USAT21502465","4DpNNXFMMxQEKl7r0ykkWA"
"Letting People Go (feat. Prinze George) - Diplo Remix","Carnage","Letting People Go (feat. Prinze George) [Diplo Remix]","Favorite Songs","Favorite","USUYG1255942","3iINfVB6kucFrmMRWdLMWS"
"Wrong Time","Hippie Sabotage","Wrong Time","Favorite Songs","Favorite","QM4TW2042962","0TxPln0uhql4ucFGk1XISM"
"The Less I Know The Better","Tame Impala","Currents","Favorite Songs","Favorite","AUUM71500303","6K4t31amVTZDgR3sKmwUJJ"
